Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
functional,Chrome 117.0.0.0,,,2023-09-28 19:23:40,2023-09-28 19:28:46,5m - 6.621s,FAILED
,,,,,,,
Test Cases/Functionality/register new customer,Chrome 117.0.0.0,,,2023-09-28 19:25:40,2023-09-28 19:26:43,1m - 2.796s,FAILED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-28 19:25:40,2023-09-28 19:25:42,1.835s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-28 19:25:42,2023-09-28 19:26:08,26.432s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""))",Chrome 117.0.0.0,,,2023-09-28 19:26:08,2023-09-28 19:26:08,0.365s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/img_Hello,_style-people""))",Chrome 117.0.0.0,,,2023-09-28 19:26:08,2023-09-28 19:26:09,0.390s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_IDUsername""))",Chrome 117.0.0.0,,,2023-09-28 19:26:09,2023-09-28 19:26:09,0.385s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-28 19:26:09,2023-09-28 19:26:10,0.733s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-28 19:26:10,2023-09-28 19:26:10,0.428s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-28 19:26:10,2023-09-28 19:26:11,0.371s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-28 19:26:11,2023-09-28 19:26:20,9.494s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-28 19:26:20,2023-09-28 19:26:21,0.703s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-28 19:26:21,2023-09-28 19:26:23,2.374s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Salesman ID""))",Chrome 117.0.0.0,,,2023-09-28 19:26:23,2023-09-28 19:26:25,1.336s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_REYNER""))",Chrome 117.0.0.0,,,2023-09-28 19:26:25,2023-09-28 19:26:25,0.465s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Salesman ID_createcustomer-customerre_2602e6""), ""Customer-UMKM"" + RandomStringUtils.randomNumeric(5))",Chrome 117.0.0.0,,,2023-09-28 19:26:25,2023-09-28 19:26:26,1.375s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Name_createcustomer-customer_9f598b""), ""UMKM"")",Chrome 117.0.0.0,,,2023-09-28 19:26:26,2023-09-28 19:26:27,0.670s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Email""))",Chrome 117.0.0.0,,,2023-09-28 19:26:27,2023-09-28 19:26:28,0.375s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_PIC_createcustomer-customerregister-c_7d29d8""), ""umkm@mailinator.com"")",Chrome 117.0.0.0,,,2023-09-28 19:26:28,2023-09-28 19:26:28,0.909s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Email_createcustomer-customerregister_6409b8""), ""Sleman"")",Chrome 117.0.0.0,,,2023-09-28 19:26:28,2023-09-28 19:26:29,0.683s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Remark""))",Chrome 117.0.0.0,,,2023-09-28 19:26:29,2023-09-28 19:26:29,0.347s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_City_createcustomer-customerregister-_1096a9""), ""umkm"")",Chrome 117.0.0.0,,,2023-09-28 19:26:29,2023-09-28 19:26:30,0.754s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_NPWP""))",Chrome 117.0.0.0,,,2023-09-28 19:26:30,2023-09-28 19:26:31,0.462s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_NPWP""))",Chrome 117.0.0.0,,,2023-09-28 19:26:31,2023-09-28 19:26:31,0.442s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Remark_createcustomer-customerregiste_e3ba5d""), ""08.178.554.2-123.321"")",Chrome 117.0.0.0,,,2023-09-28 19:26:31,2023-09-28 19:26:32,0.722s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_NPWP_createcustomer-customerregister-_b2e4d8""), ""umkm"")",Chrome 117.0.0.0,,,2023-09-28 19:26:32,2023-09-28 19:26:33,0.706s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Tier_createcustomer-customerregist_831bae""), ""gang mawar"")",Chrome 117.0.0.0,,,2023-09-28 19:26:33,2023-09-28 19:26:33,0.790s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Address 2_createcustomer-customerregi_b33ca3""), ""001122334455"")",Chrome 117.0.0.0,,,2023-09-28 19:26:33,2023-09-28 19:26:35,1.257s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Contact No_createcustomer-customerreg_0f8d35""), ""Sleman"")",Chrome 117.0.0.0,,,2023-09-28 19:26:35,2023-09-28 19:26:35,0.787s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Province""))",Chrome 117.0.0.0,,,2023-09-28 19:26:35,2023-09-28 19:26:36,0.355s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Region_createcustomer-customerregiste_b1824f""), ""Special region of yogyakarta"")",Chrome 117.0.0.0,,,2023-09-28 19:26:36,2023-09-28 19:26:37,0.924s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""), """")",Chrome 117.0.0.0,,,2023-09-28 19:26:37,2023-09-28 19:26:37,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""))",Chrome 117.0.0.0,,,2023-09-28 19:26:37,2023-09-28 19:26:38,0.564s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_SiCepat""))",Chrome 117.0.0.0,,,2023-09-28 19:26:38,2023-09-28 19:26:38,0.368s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_""))",Chrome 117.0.0.0,,,2023-09-28 19:26:38,2023-09-28 19:26:39,0.570s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_NET75""))",Chrome 117.0.0.0,,,2023-09-28 19:26:39,2023-09-28 19:26:39,0.476s,PASSED
"uploadFile(findTestObject(""Object Repository/Page_Prieds Technology/mat-icon_add""), ""C:\Users\LENOVO\git\effective-robot\Object Repository"")",Chrome 117.0.0.0,,,2023-09-28 19:26:39,2023-09-28 19:26:40,1.179s,FAILED
Video,Chrome 117.0.0.0,,,2023-09-28 19:26:43,2023-09-28 19:26:43,0.001s,PASSED
,,,,,,,
Test Cases/Functionality/search customer,Chrome 117.0.0.0,,,2023-09-28 19:26:43,2023-09-28 19:27:09,26.083s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-28 19:26:43,2023-09-28 19:26:45,1.793s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-28 19:26:45,2023-09-28 19:26:52,7.152s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/input_Sign In_username""))",Chrome 117.0.0.0,,,2023-09-28 19:26:52,2023-09-28 19:26:52,0.397s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/img_Hello,_style-people""))",Chrome 117.0.0.0,,,2023-09-28 19:26:52,2023-09-28 19:26:52,0.361s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/div_IDUsername""))",Chrome 117.0.0.0,,,2023-09-28 19:26:52,2023-09-28 19:26:53,0.381s,PASSED
"setText(findTestObject(""Object Repository/search customer/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-28 19:26:53,2023-09-28 19:26:54,0.685s,PASSED
"setEncryptedText(findTestObject(""Object Repository/search customer/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-28 19:26:54,2023-09-28 19:26:54,0.413s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-28 19:26:54,2023-09-28 19:26:54,0.366s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-28 19:26:54,2023-09-28 19:26:59,5.168s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-28 19:26:59,2023-09-28 19:27:00,0.695s,PASSED
"setText(findTestObject(""Object Repository/search customer/Page_Prieds Technology/input_Customer Register Import_input-custom_9d3571""), ""cus001"")",Chrome 117.0.0.0,,,2023-09-28 19:27:00,2023-09-28 19:27:02,1.922s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/span_Search""))",Chrome 117.0.0.0,,,2023-09-28 19:27:02,2023-09-28 19:27:02,0.380s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/mat-icon_more_vert""))",Chrome 117.0.0.0,,,2023-09-28 19:27:02,2023-09-28 19:27:04,1.342s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/button_Edit""))",Chrome 117.0.0.0,,,2023-09-28 19:27:04,2023-09-28 19:27:04,0.636s,PASSED
"doubleClick(findTestObject(""Object Repository/search customer/Page_Prieds Technology/input_Customer ID_input-editcustomername-cu_78517f""))",Chrome 117.0.0.0,,,2023-09-28 19:27:04,2023-09-28 19:27:06,1.140s,PASSED
"click(findTestObject(""Object Repository/search customer/Page_Prieds Technology/span_Close""))",Chrome 117.0.0.0,,,2023-09-28 19:27:06,2023-09-28 19:27:06,0.363s,PASSED
